(-0.863918,-0.0596332)
(-0.319956,-0.897855)
(0.192877,0.861995)
(0.100558,-0.276955)
(-0.531602,0.150914)
(-0.8352,0.011597)
(-0.822352,0.185949)
(-0.483322,0.449538)
(0.235694,0.655232)
(0.636586,0.0728172)
(0.358867,0.41905)
(-0.233863,0.50856)
(-0.616688,0.504654)
(-0.549883,0.115085)
(-0.175268,-0.141301)
(0.182928,-0.287484)
(0.339122,-0.33137)
(0.341288,-0.528062)
(0.30372,-0.755547)
(0.24134,-0.792383)
(0.100711,-0.43788)
(-0.106571,0.173223)
(-0.181768,0.58916)
(-0.0730613,0.477248)
(0.144108,-0.118686)
(0.167119,-0.762627)
(0.094058,-0.962889)
(0.0493484,-0.623951)
(0.517502,0.158574)
(0.502823,0.729484)
(-0.192572,0.833918)
(0.455031,0.53914)
(0.0271615,0.0371105)
(-0.927152,-0.250679)
(0.00897244,0.113681)
(-0.558153,0.486862)
(0.401013,-0.0555742)
(0.88995,0.160894)
(0.909848,0.202673)
(0.386151,-0.165441)
(-0.138218,0.0990326)
(-0.22599,0.302438)
(0.105899,0.0211493)
(0.470901,0.276009)
(0.61626,0.312204)
(0.486343,0.257881)
(0.273293,-0.0828578)
(-0.0164495,-0.303476)
(-0.321635,-0.302255)
(-0.76574,-0.0155034)
(-0.934172,0.226112)
(-0.866359,0.301279)
(0.0151067,0.228492)
(0.478591,0.266762)
(0.209601,0.539415)
(0.846126,0.911649)
(-0.397473,0.826716)
(0.055208,0.136814)
(-0.013184,-0.822687)
(-0.38496,-0.987335)
(0.445753,-0.962951)
(0.656423,0.11127)
(-0.042909,0.735557)
(-0.741966,-0.257973)
(0.969726,0.678091)
(-0.147191,-0.0644551)
(0.35197,-0.382763)
(-0.0932646,-0.169622)
(-0.242531,0.147252)
(0.526933,0.00738548)
(0.0802026,-0.698782)
(-0.241798,0.973632)
(0.118992,-0.971343)
(0.531663,-0.989563)
(0.799005,-0.350902)
(0.702261,0.374401)
(0.572619,0.63506)
(0.541856,0.600909)
(0.602588,0.440413)
(0.542161,0.289224)
(0.259346,0.125614)
(-0.191229,-0.0260323)
(-0.614795,-0.0663778)
(-0.863186,0.0878018)
(-0.915983,0.361827)
(-0.816004,0.629536)
(-0.582476,0.780969)
(-0.263588,0.845088)
(0.0155034,0.819758)
(0.0937834,0.722221)
(-0.0798364,0.352733)
(-0.352763,-0.135502)
(-0.427412,-0.58565)
(-0.132725,-0.430189)
(0.43556,0.112461)
(0.872921,-0.100864)
(0.937712,-0.103793)
(0.723167,-0.109622)
(0.324381,-0.46086)
(0.146428,-0.107517)
(0.304025,-0.849452)
(0.561846,-0.125065)
(0.608081,0.783959)
(0.332286,0.870602)
(-0.116123,0.505936)
(-0.486038,-0.0124516)
(-0.520981,-0.112217)
(-0.249153,0.0435499)
(0.142552,0.0750755)
(0.386883,-0.101138)
(0.355083,-0.305399)
(0.0284127,0.12714)
(-0.427381,0.548601)
(-0.800012,-0.262642)
(-0.987213,-0.0129704)
(-0.988311,0.542528)
(-0.987365,-0.79107)
(-0.994232,-0.359508)
(-0.935636,-0.349254)
(-0.624287,0.981597)
(-0.205359,-0.638539)
(0.24427,0.987671)
(0.609516,-0.824946)
(0.793329,-0.359691)
(0.651997,0.585833)
(0.247444,0.978515)
(-0.225349,0.679586)
(-0.561418,-0.225288)
(-0.595294,-0.776727)
(-0.361003,-0.594623)
(-0.0229804,0.167333)
(0.276437,0.667806)
(0.266518,0.409894)
(0.0539872,-0.389966)
(-0.381207,-0.940397)
(-0.528031,-0.855861)
(-0.593982,-0.361797)
(0.129826,0.0125736)
(0.158361,-0.193884)
(-0.144627,-0.632588)
(0.167028,-0.776055)
(0.618275,-0.391461)
(0.0265511,0.366771)
(-0.592242,0.777215)
(-0.681204,0.56798)
(-0.524033,-0.0227363)
(-0.216651,-0.496628)
(-0.143345,-0.507889)
(-0.21894,-0.245155)
(-0.299722,-0.085696)
(-0.144536,-0.237526)
(0.202582,-0.552324)
(0.511826,-0.737114)
(0.544816,-0.71926)
(0.239357,-0.638783)
(-0.241096,-0.651418)
(-0.565447,-0.756249)
(-0.58211,-0.912961)
(-0.378674,-0.970244)
(-0.162694,0.988311)
(-0.12299,-0.965606)
(-0.264504,0.971282)
(-0.45085,0.0729087)
(-0.562639,-0.662496)
(-0.542009,0.347545)
(-0.48085,0.248421)
(-0.528001,-0.0748314)
(-0.641774,0.00708029)
(-0.648854,0.709922)
(-0.426374,0.638539)
(-0.0128178,0.365062)
(0.316538,0.0228278)
(0.35548,-0.544694)
(0.14008,-0.887173)
(0.0224616,-0.829279)
(0.228462,-0.235511)
(0.7369,0.552355)
(0.242531,0.866054)
(0.263894,0.808191)
(0.518418,0.253426)
(-0.634754,-0.168981)
(-0.991272,-0.250404)
(-0.882534,0.471389)
(-0.0693686,0.180792)
(0.66863,0.0141301)
(0.913236,-0.250404)
(0.616749,0.107822)
(0.0244148,0.724967)
(-0.261269,0.305338)
(-0.0828578,0.0984222)
(0.315928,0.15421)
(0.564531,0.342662)
(0.571764,0.322031)
(0.368053,0.0974456)
(0.135533,-0.214087)
(-0.195959,-0.336924)
(-0.523423,-0.19892)
(-0.91644,0.0766625)
(-0.899594,0.266152)
(-0.610309,0.286081)
(0.521409,0.250984)
(0.171056,0.35197)
(0.162999,0.755455)
(0.240883,0.495407)
(-0.956633,0.609638)
(-0.971831,-0.52562)
(-0.618671,0.988037)
(0.307047,0.00173956)
(0.315744,-0.256996)
(-0.297311,0.858364)
(-0.81167,0.560808)
(-0.424604,-0.459304)
(0.35963,-0.117679)
(0.684317,-0.402051)
(-0.072573,0.296915)
(-0.924802,-0.0936613)
(-0.990173,0.111515)
(-0.988952,0.382061)
(0.019715,-0.506119)
(-0.419691,-0.843623)
(0.34611,-0.612812)
(0.562456,-0.377758)
(0.861751,-0.282632)
(-0.366405,-0.314737)
(-0.356059,-0.24073)
(0.556597,-0.205054)
(0.554857,-0.185278)
(-0.16596,-0.414533)
(-0.433546,-0.388409)
(-0.182989,-0.263863)
(0.369396,0.598285)
(0.640522,0.334574)
(0.387738,-0.0870693)
(-0.118076,0.764153)
(-0.460524,-0.260811)
(-0.00399792,-0.694113)
(0.529099,-0.950743)
(-0.113559,-0.752403)
(-0.258919,-0.650502)
(0.397046,-0.426984)
(0.0722983,-0.107517)
(-0.598102,0.397382)
(-0.455855,0.700034)
(-0.122135,0.653493)
(0.107547,0.207862)
(-0.210791,-0.194617)
(-0.802881,-0.16895)
(0.984039,0.220374)
(-0.970183,0.440565)
(0.995056,0.165807)
(-0.773705,-0.688284)
(-0.53972,0.989929)
(-0.555589,0.996979)
(-0.608722,-0.734275)
(-0.468276,0.12891)
(-0.10065,0.43086)
(0.226539,0.0943938)
(0.269143,-0.542894)
(-0.029664,-0.805444)
(-0.482803,-0.718589)
(-0.83282,-0.405042)
(-0.884671,-0.428236)
